LABEL,S,2E,lambda,Tc,kappa,K
t1001,2,6,0.8076647681472834,1.5186514349978557,3.0,1
t1002,4,12,0.7866842753,1.4386981312807,3.0,1
t1003,12,36,0.777795496424984,1.3898343908988755,3.0,1
t1004,6,18,0.7205632906172913,1.231511701323597,3.0,1
t1005,1,4,1.1662436192187766,2.269185314208004,4.0,1
t1006,6,24,1.1448010916706917,2.143319440110952,4.0,1
t1007,3,12,1.1356963439782892,2.143319440110957,4.0,1
t1008,2,10,1.4069258454349174,2.8853900817857827,5.0,1
t1009,4,20,1.4108559665548392,2.9262615729701187,5.0,1
t1010,6,30,1.3920235372520668,2.7858430054722416,5.0,1
t1011,1,6,1.6153295362945668,3.6409569065175127,6.0,1
t2001,18,60,0.9041289720611224,1.5801732281572065,3.333333333333333,2
t2002,8,28,0.916802354580533,1.4761415161472882,3.5,2
t2003,4,18,1.2875104248216185,2.563814512367302,4.5,2
t2004,3,14,1.3277238110823113,2.667641962936981,4.666666666666667,2
t2005,18,72,1.1471469051819043,2.167953816487265,4.0,2
t2006,5,20,1.1461638977120512,2.177876317385871,4.0,2
t2007,5,20,1.1457376630004696,2.171709940920276,4.0,2
t2008,12,54,1.277617919042723,2.4826433639958485,4.5,2
t2009,12,54,1.2802872410286714,2.523724013487953,4.5,2
t2010,7,30,1.1973704095661044,2.202025849928152,4.285714285714286,2
t2011,3,12,1.127778470878558,2.0837241540979448,4.0,2
t2012,4,18,1.260019918757089,2.383122014996648,4.5,2
t2013,14,60,1.1763643902485317,2.02213135556264,4.285714285714286,2
t2014,3,16,1.477419619801947,3.118520977174896,5.333333333333333,2
t2015,4,22,1.512095218134358,3.2416133886012566,5.5,2
t2016,12,60,1.4097384346022626,2.916114715432633,5.0,2
t2017,8,40,1.4091336835976862,2.91019012066293,5.0,2
t2018,7,36,1.4406005351919466,3.0226698331643465,5.142857142857143,2
t2019,8,42,1.4493331343155729,2.985743598055779,5.25,2
t2020,12,66,1.5054947360072273,3.193522437309076,5.5,2
t3001,18,66,1.024168919391666,1.8923396430391688,3.6666666666666665,3
t3002,5,18,1.001597312247539,1.837870026890982,3.6,3
t3003,6,24,1.111755562487164,2.0554584919479635,4.0,3
t3004,9,36,1.1125190955707362,1.9845721026446024,4.0,3
t3005,30,108,1.0014670753038613,1.81657936132568,3.6,3
t3006,13,48,0.994136949285114,1.6315695247132105,3.692307692307693,3
t3007,24,90,1.0174669135810437,1.6648054687973088,3.75,3
t3008,24,90,1.02315616578964,1.696980620118288,3.75,3
t3009,10,38,1.0281949440189069,1.7180444621896145,3.8,3
t3010,6,26,1.2471367171972838,2.4629796179039176,4.333333333333333,3
t3011,9,36,1.1550366863212556,2.2162161019540045,4.0,3
t3012,9,36,1.155034438050329,2.2161145868044168,4.0,3
t3013,6,28,1.3273667344104445,2.6676419629224566,4.666666666666667,3
